egoid, lcStateM, lcStateR, lcMode, posX, posY, speed, acce, latSpeed, yaw_angle, leader_dis, leader_delta_v
IDM
egoid, lcStateM, lcStateR, lcMode, posX, posY, speed, acce, latSpeed, yaw_angle, leader_dis, leader_delta_v
IDM
egoid, lcStateM, lcStateR, lcMode, posX, posY, speed, acce, latSpeed, yaw_angle, leader_dis, leader_delta_v
IDM
egoid, lcStateM, lcStateR, lcMode, posX, posY, speed, acce, latSpeed, yaw_angle, leader_dis, leader_delta_v
IDM
egoid, lcStateM, lcStateR, lcMode, posX, posY, speed, acce, latSpeed, yaw_angle, leader_dis, leader_delta_v
IDM
egoid, lcStateM, lcStateR, lcMode, posX, posY, speed, acce, latSpeed, yaw_angle, leader_dis, leader_delta_v
IDM
ego_lane.2, 0b1000000000000001, 0b1000000000000001, 0b11001010101, 5.444862072429049, -1.875, 1.1874472962854266, 2.2438355029709545, 0.0, 0.0, 4.974963639815919, -6.724110791951576
ego_lane.2, 0b1000000000000001, 0b1000000000000001, 0b11001010101, 5.5751280525375915, -1.875, 1.4178723058854292, 2.3042500960000267, 0.0, 0.0, 5.647327697675893, -6.723170365247925
ego_lane.2, 0b1000000000000001, 0b1000000000000001, 0b11001010101, 5.728665371710363, -1.875, 1.6528740775700064, 2.3500177168457714, 0.0, 0.0, 6.3192027045379895, -6.714329771994031
ego_lane.2, 0b1000000000000001, 0b1000000000000001, 0b11001010101, 5.905879007102267, -1.875, 1.891398630268061, 2.385245526980546, 0.0, 0.0, 6.989838507890234, -6.698386295050895
ego_lane.2, 0b1000000000000001, 0b1000000000000001, 0b11001010101, 6.107082152547295, -1.875, 2.1326642786324923, 2.412656483644313, 0.0, 0.0, 7.65855112097741, -6.675865966692625
ego_lane.2, 0b1000000000000001, 0b1000000000000001, 0b11001010101, 6.332519071264901, -1.875, 2.376074095719625, 2.4340981708713283, 0.0, 0.0, 8.324695346376163, -6.647018541282462
ego_lane.2, 0b1000000000000001, 0b1000000000000001, 0b11001010101, 6.582380689403368, -1.875, 2.621158267049713, 2.4508417133008775, 0.0, 0.0, 8.98763404291563, -6.611755389506904
ego_lane.2, 0b1000000000000001, 0b1000000000000001, 0b11001010101, 6.856815334292687, -1.875, 2.8675346307366656, 2.463763636869527, 0.0, 0.0, 9.646732546822946, -6.570214688639382
ego_lane.2, 0b1000000000000001, 0b1000000000000001, 0b11001010101, 7.155936225391817, -1.875, 3.1148831912459256, 2.4734856050926, 0.0, 0.0, 10.301367631270654, -6.522487000314794
ego_lane.2, 0b1000000000000001, 0b1000000000000001, 0b11001010101, 7.479826743746763, -1.875, 3.362927175852987, 2.4804398460706123, 0.0, 0.0, 10.950923822999325, -6.468636834258676
