egoid, lcStateM, lcStateR, lcMode, posX, posY, speed
ego_lane.0, 0b1000000000000001, 0b1000000000000001, 0b11001010101, 75.52009256352308, -1.875, 16.50508310691898
ego_lane.0, 0b1000000000000001, 0b1000000000000001, 0b11001010101, 77.17803575315992, -1.875, 16.653780685817907
ego_lane.0, 0b1000000000000001, 0b1000000000000001, 0b11001010101, 78.84152067310235, -1.875, 16.61591771303079
ego_lane.0, 0b1000000000000001, 0b1000000000000001, 0b0, 80.5022351755105, -1.875, 16.598372335132296
ego_lane.0, 0b10000010, 0b10000010, 0b0, 82.16520450199113, -1.865, 16.661014194480227
ego_lane.0, 0b1000000010000010, 0b1000000010000010, 0b0, 83.82596387652465, -1.845, 16.554173296190417
ego_lane.0, 0b1000000010000010, 0b1000000010000010, 0b0, 85.48433044826338, -1.815, 16.613158138583962
ego_lane.0, 0b1000000010000010, 0b1000000010000010, 0b0, 87.14724009222181, -1.775, 16.64503474058452
ego_lane.0, 0b1000000010000010, 0b1000000010000010, 0b0, 88.8105560265774, -1.725, 16.621283946527253
ego_lane.0, 0b1000000010000010, 0b1000000010000010, 0b0, 90.47043380904746, -1.665, 16.57627170287407
ego_lane.0, 0b1000000010000010, 0b1000000010000010, 0b0, 92.12997108338284, -1.595, 16.614473783833525
ego_lane.0, 0b1000000010000010, 0b1000000010000010, 0b0, 93.79158375395076, -1.515, 16.617779627524865
ego_lane.0, 0b1000000010000010, 0b1000000010000010, 0b0, 95.45491966047193, -1.4249999999999998, 16.648938502898524
ego_lane.0, 0b1000000010000010, 0b1000000010000010, 0b0, 97.11761826361862, -1.325, 16.60503356003537
ego_lane.0, 0b1000000010000010, 0b1000000010000010, 0b0, 98.778008694229, -1.225, 16.602775052172216
ego_lane.0, 0b1000000010000010, 0b1000000010000010, 0b0, 100.43588163323109, -1.125, 16.554683727869847
ego_lane.0, 0b1000000010000010, 0b1000000010000010, 0b0, 102.09558370661142, -1.025, 16.639357739736877
ego_lane.0, 0b1000000010000010, 0b1000000010000010, 0b0, 103.75585393012665, -0.925, 16.56604673056732
ego_lane.0, 0b1000000010000010, 0b1000000010000010, 0b0, 105.41775562071136, -0.825, 16.67198708112686
ego_lane.0, 0b1000000010000010, 0b1000000010000010, 0b0, 107.08483577015353, -0.7249999999999999, 16.66961590771665
ego_lane.0, 0b1000000010000010, 0b1000000010000010, 0b0, 108.7497733799858, -0.6249999999999998, 16.629136288928418
ego_lane.0, 0b1000000010000010, 0b1000000010000010, 0b0, 110.41137568032026, -0.5249999999999997, 16.602909717761065
ego_lane.0, 0b1000000010000010, 0b1000000010000010, 0b0, 112.0706297073381, -0.4249999999999996, 16.582170822595796
ego_lane.0, 0b1000000010000010, 0b1000000010000010, 0b0, 113.73120506272969, -0.3249999999999995, 16.62933628523591
ego_lane.0, 0b1000000010000010, 0b1000000010000010, 0b0, 115.39495381220944, -0.22499999999999964, 16.64563870435915
ego_lane.0, 0b1000000010000010, 0b1000000010000010, 0b0, 117.0551131054411, -0.12499999999999956, 16.557547160273966
ego_lane.0, 0b10000010, 0b10000010, 0b0, 118.66586782146848, -0.024999999999999467, 15.657547160273966
ego_lane.0, 0b10000010, 0b10000010, 0b0, 120.189025852307, 0.07500000000000084, 14.805613456496069
ego_lane.0, 0b1000000000000000000000000000000, 0b1000000000000000000000000000000, 0b0, 121.6311853682536, 0.17500000000000093, 14.037576862436008
ego_lane.0, 0b1000000000000000000000000000000, 0b1000000000000000000000000000000, 0b0, 123.00043308107387, 0.275000000000001, 13.34737739396923
ego_lane.0, 0b1000000000000000000000000000000, 0b1000000000000000000000000000000, 0b0, 124.30471983956737, 0.3750000000000011, 12.738357775900775
ego_lane.0, 0b1000000000000000000000000000000, 0b1000000000000000000000000000000, 0b0, 125.55138632570062, 0.4750000000000012, 12.19497194676425
ego_lane.0, 0b1000000000000000000000000000000, 0b1000000000000000000000000000000, 0b0, 126.74670577843725, 0.5750000000000013, 11.711417107968327
ego_lane.0, 0b1000000000000000000000000000000, 0b1000000000000000000000000000000, 0b0, 127.89696542260486, 0.6750000000000014, 11.293775775384356
ego_lane.0, 0b1000000000000000000000000000000, 0b1000000000000000000000000000000, 0b0, 129.00384300014332, 0.7750000000000015, 10.843775775384357
