egoid, lanePos, latPos, speed, latSpeed, lcState, latAcce, action, laneIndex, tgtlane, origLane
lane1.0, 126.62691001817598, 3.6500000000000004, 28.045955346377163, -1.0000000000000053, 0b110001100, -8.881784197001252e-14, 1, 1, 0, 1
lane1.0, 129.40900555281368, 3.5500000000000007, 27.595955346377163, -0.9999999999999964, 0b110001100, 8.881784197001252e-14, 1, 1, 0, 1
lane1.0, 132.1461010874514, 3.45, 27.145955346377164, -1.0000000000000053, 0b110001100, -8.881784197001252e-14, 1, 1, 0, 1
lane1.0, 134.83819662208913, 3.3500000000000005, 26.695955346377165, -0.9999999999999964, 0b110001100, 8.881784197001252e-14, 1, 1, 0, 1
lane1.0, 137.48529215672684, 3.25, 26.245955346377166, -1.0000000000000053, 0b110001100, -8.881784197001252e-14, 1, 1, 0, 1
lane1.0, 140.08738769136457, 3.1499999999999995, 25.795955346377166, -1.0000000000000053, 0b110001100, 0.0, 1, 0, 0, 1
lane1.0, 142.64448322600228, 3.05, 25.345955346377167, -0.9999999999999964, 0b1000000000000000000000000000000, 8.881784197001252e-14, 1, 0, 0, 1
lane1.0, 145.15657876064, 2.9499999999999993, 24.895955346377168, -1.0000000000000053, 0b1000000000000000000000000000000, -8.881784197001252e-14, 1, 0, 0, 1
lane1.0, 147.6236742952777, 2.8499999999999996, 24.44595534637717, -0.9999999999999964, 0b1000000000000000000000000000000, 8.881784197001252e-14, 1, 0, 0, 1
lane1.0, 150.04576982991543, 2.749999999999999, 23.99595534637717, -1.0000000000000053, 0b1000000000000000000000000000000, -8.881784197001252e-14, 1, 0, 0, 1
lane1.0, 152.42286536455313, 2.749999999999999, 23.54595534637717, 0.0, 0b1000000000000000000000000000000, 10.000000000000053, 0, 0, 0, 1
lane1.0, 154.75496089919085, 2.7399999999999993, 23.09595534637717, -0.09999999999999787, 0b1000000000000000000000000000000, -0.9999999999999787, 1, 0, 0, 1
lane1.0, 157.04205643382858, 2.7199999999999993, 22.64595534637717, -0.20000000000000018, 0b1000000000000000000000000000000, -1.000000000000023, 1, 0, 0, 1
lane1.0, 159.2841519684663, 2.6899999999999995, 22.195955346377172, -0.29999999999999805, 0b1000000000000000000000000000000, -0.9999999999999787, 1, 0, 0, 1
lane1.0, 161.48379012995397, 2.6499999999999995, 21.796807883376403, -0.40000000000000036, 0b1000000000000000000000000000000, -1.000000000000023, 1, 0, 0, 1
lane1.0, 163.6486044173867, 2.599999999999999, 21.499477865278337, -0.5000000000000027, 0b1000000000000000000000000000000, -1.000000000000023, 1, 0, 0, 1
lane1.0, 165.78727169387395, 2.539999999999999, 21.27386766446635, -0.6000000000000005, 0b1000000000000000000000000000000, -0.9999999999999787, 1, 0, 0, 1
lane1.0, 167.9060148299907, 2.469999999999999, 21.100995057869014, -0.7000000000000028, 0b1000000000000000000000000000000, -1.000000000000023, 1, 0, 0, 1
lane1.0, 170.00964501989233, 2.389999999999999, 20.9716087401632, -0.8000000000000007, 0b1000000000000000000000000000000, -0.9999999999999787, 1, 0, 0, 1
lane1.0, 172.1018609376989, 2.299999999999999, 20.872709615967956, -0.8999999999999986, 0b1000000000000000000000000000000, -0.9999999999999787, 1, 0, 0, 1
lane1.0, 174.18539703094035, 2.199999999999999, 20.798012248861287, -1.0000000000000009, 0b1000000000000000000000000000000, -1.000000000000023, 1, 0, 0, 1
lane1.0, 176.2624386860617, 2.0999999999999988, 20.742820853565714, -1.0000000000000009, 0b1000000000000000000000000000000, 0.0, 1, 0, 0, 1
lane1.0, 178.33475699576215, 2.009999999999999, 20.7035453404431, -0.8999999999999986, 0b1000000000000000000000000000000, 1.000000000000023, 0, 0, 0, 1
lane1.0, 180.40380362030976, 1.9299999999999988, 20.67738715050899, -0.8000000000000007, 0b1000000000000000000000000000000, 0.9999999999999787, 0, 0, 0, 1
lane1.0, 182.47077939363027, 1.859999999999999, 20.662128315901334, -0.6999999999999984, 0b1000000000000000000000000000000, 1.000000000000023, 0, 0, 0, 1
lane1.0, 184.5366850957973, 1.799999999999999, 20.65598572743981, -0.6000000000000005, 0b1000000000000000000000000000000, 0.9999999999999787, 0, 0, 0, 1
lane1.0, 186.6023597798386, 1.749999999999999, 20.657507953386148, -0.5000000000000004, 0b1000000000000000000000000000000, 1.0000000000000009, 0, 0, 0, 1
lane1.0, 188.66851020809492, 1.6999999999999988, 20.665500611740534, -0.5000000000000004, 0b1000000000000000000000000000000, 0.0, 1, 0, 0, 1
lane1.0, 190.73573380739853, 1.6599999999999988, 20.678971374331674, -0.40000000000000036, 0b1000000000000000000000000000000, 1.0000000000000009, 0, 0, 0, 1
lane1.0, 192.80453681410722, 1.6299999999999988, 20.697088759842373, -0.30000000000000027, 0b1000000000000000000000000000000, 1.0000000000000009, 0, 0, 0, 1
lane1.0, 194.87534879194192, 1.6299999999999988, 20.71915079685133, 0.0, 0b1000000000000000000000000000000, 3.0000000000000027, 0, 0, 0, 1
lane1.0, 196.9485343753919, 1.6299999999999988, 20.74456087214801, 0.0, 0b1000000000000000000000000000000, 0.0, 0, 0, 0, 1
lane1.0, 199.0244028634965, 1.6299999999999988, 20.772808889944297, 0.0, 0b1000000000000000000000000000000, 0.0, 0, 0, 0, 1
lane1.0, 201.1032161285391, 1.6299999999999988, 20.803456410907657, 0.0, 0b1000000000000000000000000000000, 0.0, 0, 0, 0, 1
lane1.0, 203.18519518963913, 1.6299999999999988, 20.83612481109327, 0.0, 0b1000000000000000000000000000000, 0.0, 0, 0, 0, 1
lane1.0, 205.27052571813132, 1.6299999999999988, 20.870485758750508, 0.0, 0b1000000000000000000000000000000, 0.0, 0, 0, 0, 1
lane1.0, 207.35936268051762, 1.6299999999999988, 20.906253488975302, 0.0, 0b1000000000000000000000000000000, 0.0, 0, 0, 0, 1
