egoid, lanePos, latPos, speed, latSpeed, lcState, latAcce, action
lane1.0, 146.4361965181765, 4.3415, 25.43922164073367, -0.8000000000000007, 0b110001100, -0.9999999999999787, 1
lane1.0, 148.9865180750637, 4.2515, 25.567209497010403, -0.8999999999999986, 0b110001100, -0.9999999999999787, 1
lane1.0, 151.5494140320941, 4.1514999999999995, 25.690709643596982, -1.0000000000000053, 0b110001100, -1.0000000000000675, 1
lane1.0, 154.12444564002257, 4.0515, 25.809922514972403, -0.9999999999999964, 0b110001100, 8.881784197001252e-14, 1
lane1.0, 156.7050611874035, 3.9515, 25.802388432645625, -1.0000000000000009, 0b110001100, -4.440892098500626e-14, 1
lane1.0, 159.2858405793849, 3.8514999999999997, 25.813199406982996, -1.0000000000000009, 0b110001100, 0.0, 1
lane1.0, 161.868332003694, 3.7515, 25.836629079199078, -0.9999999999999964, 0b110001100, 4.440892098500626e-14, 1
lane1.0, 164.4536141338931, 3.6514999999999995, 25.869013524782957, -1.0000000000000053, 0b110001100, -8.881784197001252e-14, 1
lane1.0, 167.04245925980896, 3.5515, 25.90788899353449, -0.9999999999999964, 0b110001100, 8.881784197001252e-14, 1
lane1.0, 169.63543036907402, 3.4514999999999993, 25.951533191766522, -1.0000000000000053, 0b110001100, -8.881784197001252e-14, 1
lane1.0, 172.23294223645482, 3.3514999999999997, 25.99870415584942, -0.9999999999999964, 0b110001100, 8.881784197001252e-14, 1
lane1.0, 174.83530161195182, 3.251499999999999, 26.0484833540909, -1.0000000000000053, 0b110001100, -8.881784197001252e-14, 1
lane1.0, 177.4427346370787, 3.1514999999999986, 26.10017714844672, -1.0000000000000053, 0b110001100, 0.0, 1
lane1.0, 180.05540612331603, 3.051499999999999, 26.153252576299902, -0.9999999999999964, 0b1000000000000000000000000000000, 8.881784197001252e-14, 1
lane1.0, 182.67343346028161, 2.9514999999999985, 26.20729416301173, -1.0000000000000053, 0b1000000000000000000000000000000, -8.881784197001252e-14, 1
lane1.0, 185.29689687252306, 2.851499999999999, 26.261974081817307, -0.9999999999999964, 0b1000000000000000000000000000000, 8.881784197001252e-14, 1
lane1.0, 187.92584712887177, 2.7514999999999983, 26.317031045156696, -1.0000000000000053, 0b1000000000000000000000000000000, -8.881784197001252e-14, 1
lane1.0, 190.55986659818916, 2.6514999999999986, 26.363358341191372, -0.9999999999999964, 0b1000000000000000000000000000000, 8.881784197001252e-14, 1
lane1.0, 193.19833418463884, 2.5514999999999985, 26.405993387802212, -1.0000000000000009, 0b1000000000000000000000000000000, -4.440892098500626e-14, 1
lane1.0, 195.84088031998536, 2.4514999999999985, 26.44492931912818, -1.0000000000000009, 0b1000000000000000000000000000000, 0.0, 1
lane1.0, 198.4871347106616, 2.3514999999999984, 26.480158494396388, -1.0000000000000009, 0b1000000000000000000000000000000, 0.0, 1
lane1.0, 201.1381171006839, 2.2514999999999983, 26.539489306049497, -1.0000000000000009, 0b1000000000000000000000000000000, 0.0, 1
lane1.0, 203.79498951508498, 2.1514999999999986, 26.59795898197201, -0.9999999999999964, 0b1000000000000000000000000000000, 4.440892098500626e-14, 1
lane1.0, 206.45766516951178, 2.0514999999999985, 26.65555410656387, -1.0000000000000009, 0b1000000000000000000000000000000, -4.440892098500626e-14, 1
lane1.0, 209.12605616544448, 1.9614999999999985, 26.712265812090017, -0.9000000000000008, 0b1000000000000000000000000000000, 1.0000000000000009, 0
